"","RT","SERIALNO","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACR","AGS","BATH","BDSP","BLD","BUS","CONP","ELEP","FS","FULP","GASP","HFL","INSP","MHP","MRGI","MRGP","MRGT","MRGX","REFR","RMSP","RNTM","RNTP","RWAT","RWATPR","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FINCP","FPARC","GRNTP","GRPIP","HHL","HHT","HINCP","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","NR","NRC","OCPIP","PARTNER","PLM","PSF","R18","R60","R65","RESMODE","SMOCP","SMX","SRNT","SVAL","TAXP","WIF","WKEXREL","WORKSTAT","FACRP","FAGSP","FBATHP","FBDSP","FBLDP","FBUSP","FCONP","FELEP","FFINCP","FFSP","FFULP","FGASP","FGRNTP","FHFLP","FHINCP","FINSP","FKITP","FMHP","FMRGIP","FMRGP","FMRGTP","FMRGXP","FMVP","FPLMP","FREFRP","FRMSP","FRNTMP","FRNTP","FRWATP","FRWATPRP","FSINKP","FSMOCP","FSMP","FSMXHP","FSMXSP","FSTOVP","FTAXP","FTELP","FTENP","FTOILP","FVACSP","FVALP","FVEHP","FWATP","FYBLP","WGTP1","WGTP2","WGTP3","WGTP4","WGTP5","WGTP6","WGTP7","WGTP8","WGTP9","WGTP10","WGTP11","WGTP12","WGTP13","WGTP14","WGTP15","WGTP16","WGTP17","WGTP18","WGTP19","WGTP20","WGTP21","WGTP22","WGTP23","WGTP24","WGTP25","WGTP26","WGTP27","WGTP28","WGTP29","WGTP30","WGTP31","WGTP32","WGTP33","WGTP34","WGTP35","WGTP36","WGTP37","WGTP38","WGTP39","WGTP40","WGTP41","WGTP42","WGTP43","WGTP44","WGTP45","WGTP46","WGTP47","WGTP48","WGTP49","WGTP50","WGTP51","WGTP52","WGTP53","WGTP54","WGTP55","WGTP56","WGTP57","WGTP58","WGTP59","WGTP60","WGTP61","WGTP62","WGTP63","WGTP64","WGTP65","WGTP66","WGTP67","WGTP68","WGTP69","WGTP70","WGTP71","WGTP72","WGTP73","WGTP74","WGTP75","WGTP76","WGTP77","WGTP78","WGTP79","WGTP80"
"26534","H",2016001440414,1,201,1,44,1000000,1007588,10,2,1,1,NA,1,3,2,9,0,110,2,1200,3,4,1000,NA,2,260,2,1,1,7,NA,NA,1,9,1,NA,1,1,1,9,NA,275000,2,300,3,2,129200,4,NA,NA,1,1,129200,0,4,4,4,1,1,1,7,0,2,0,0,0,9,0,1,0,0,2,1,3,983,3,0,1,60,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,18,12,12,18,9,3,3,2,10,10,10,10,11,18,18,15,11,17,16,10,3,8,10,3,10,19,19,18,10,9,9,11,9,3,3,3,11,3,3,11,18,9,11,17,9,3,3,3,9,10,10,11,11,17,18,16,10,20,16,11,3,8,11,4,11,17,15,19,8,11,10,9,9,3,3,3,11,3
"25309","H",2016001089255,1,400,1,44,1000000,1007588,44,4,1,NA,NA,1,4,5,NA,NA,80,1,2,3,3,NA,NA,NA,NA,NA,NA,1,6,2,1100,1,9,1,NA,1,1,3,9,NA,NA,3,1,4,7,71000,1,1180,13,1,3,106000,1,1,1,1,1,1,2,3,1,3,0,1,1,NA,0,1,0,1,0,0,2,NA,NA,1,0,NA,2,13,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,28,74,53,29,49,45,30,47,22,24,43,46,57,45,50,59,40,39,23,63,18,54,28,51,67,29,23,25,25,22,66,56,54,53,51,50,48,59,14,38,23,38,31,53,86,44,19,41,17,23,45,59,74,63,45,78,50,30,29,52,13,49,54,31,50,46,28,40,14,21,50,55,47,33,62,50,41,62,27,37
"15794","H",2014001424177,1,101,1,44,1013801,1022342,14,2,1,1,NA,1,2,2,2,0,2,2,900,30,4,800,NA,NA,NA,NA,3,1,5,NA,NA,1,9,1,NA,1,1,2,1,NA,280000,1,2,1,4,73200,4,NA,NA,1,1,73200,0,4,4,4,1,1,1,7,0,2,0,0,0,9,0,1,0,0,2,2,1,572,NA,0,1,60,0,9,9,0,0,0,0,0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,23,14,23,13,15,25,14,4,25,24,4,16,15,5,14,4,14,14,15,27,5,14,4,13,13,4,13,25,5,4,26,14,14,28,12,23,13,12,14,22,3,12,5,13,12,4,13,22,4,4,25,13,16,27,14,28,15,13,14,4,25,14,27,15,13,22,14,4,24,26,5,14,15,4,13,5,12,14,15,5
"9996","H",2013001300017,1,104,1,44,1030392,1038170,8,4,1,1,NA,1,3,2,2,NA,260,1,800,3,4,NA,NA,NA,NA,NA,NA,1,7,2,1400,1,9,1,NA,1,1,3,1,NA,NA,1,1,4,8,13200,2,1727,101,1,3,13200,0,2,2,2,1,1,1,3,3,4,0,0,3,NA,0,1,0,1,0,0,1,NA,NA,1,0,NA,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,14,8,13,3,8,8,8,2,7,11,8,3,2,7,8,2,12,7,8,3,3,7,3,13,8,7,8,13,7,2,8,13,14,7,8,13,3,8,7,2,2,8,2,12,8,7,9,11,8,3,8,13,14,8,8,12,3,7,8,14,14,7,14,3,7,8,6,3,9,11,8,3,2,8,7,2,16,9
"5727","H",2013000099510,1,201,1,44,1030392,1038170,11,1,1,1,NA,1,2,2,2,0,70,2,800,40,4,600,NA,NA,NA,NA,3,1,4,NA,NA,1,9,1,NA,1,1,2,1,NA,106000,1,100,2,NA,NA,NA,NA,NA,1,4,62000,0,4,4,4,1,1,1,6,0,NA,0,0,0,8,0,1,0,0,0,0,1,410,NA,0,1,33,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,18,12,3,17,22,10,8,3,9,11,10,15,6,12,10,17,17,11,4,3,15,11,3,24,19,12,13,3,12,15,21,10,2,8,12,18,18,15,16,18,5,15,16,4,3,12,12,18,10,10,9,14,24,12,9,2,3,8,17,15,5,10,19,3,3,11,17,15,18,15,11,9,13,11,13,5,3,16
"13387","H",2014000750202,1,400,1,44,1013801,1022342,9,2,1,1,NA,1,4,2,2,0,50,2,4000,3,4,4000,NA,2,1400,1,1,1,8,NA,NA,1,9,1,NA,1,1,1,1,NA,650000,2,140,4,1,309400,4,NA,NA,3,1,309400,0,4,4,4,1,1,1,7,0,2,0,0,0,8,0,1,0,0,2,1,1,2128,3,0,1,64,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,14,13,8,9,9,13,2,12,9,2,2,3,9,14,2,9,10,9,10,10,2,2,9,9,8,3,14,2,8,11,14,13,7,3,16,9,8,8,8,8,2,3,9,9,9,2,16,2,8,13,15,15,8,3,15,8,9,8,8,9,15,13,8,9,8,14,3,15,10,2,2,2,9,13,2,8,8
"17758","H",2015000474294,1,103,1,44,1012636,1013916,21,0,1,NA,NA,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,600,1,9,1,NA,1,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,20,20,19,22,6,21,6,22,7,6,7,6,21,21,6,6,21,36,20,21,36,38,36,33,21,34,21,37,19,21,22,22,36,38,20,20,36,21,34,33,21,21,20,21,35,20,36,19,34,35,36,38,22,21,34,34,22,6,20,20,7,6,6,6,20,6,21,5,21,23,21,21,6,6,20,22,6,23
"14622","H",2014001097616,1,102,1,44,1013801,1022342,12,3,1,1,NA,1,4,2,2,0,440,2,2,2,1,1000,NA,2,1800,2,1,1,10,NA,NA,1,9,1,NA,1,1,1,1,NA,450000,3,900,7,1,93000,4,NA,NA,1,1,93000,0,4,4,4,1,1,1,5,0,3,0,0,0,37,0,1,0,0,2,1,3,2890,3,0,1,63,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,18,12,12,4,23,13,12,20,11,12,21,11,12,13,23,4,3,12,4,3,19,11,12,4,21,12,13,19,11,11,18,12,12,12,22,4,4,12,20,21,4,12,12,20,4,12,13,4,12,11,3,12,11,12,3,22,23,12,19,22,4,12,12,19,4,12,12,4,11,13,4,12,13,11,4,22,21,13
"3326","H",2012000913967,1,103,1,44,1045360,1056030,53,3,1,NA,NA,1,1,9,NA,NA,1,2,2,1,1,NA,NA,NA,NA,NA,NA,1,3,2,700,1,9,1,NA,1,1,3,1,NA,NA,1,1,1,NA,NA,NA,700,33,1,5,25530,0,4,4,4,1,1,1,1,0,NA,0,1,0,NA,0,1,0,0,0,0,2,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,74,96,14,15,85,50,18,94,82,59,51,17,56,67,57,41,17,61,52,60,75,69,12,16,77,67,20,92,87,41,57,18,47,53,67,50,16,64,54,49,15,17,92,83,15,63,86,14,15,52,52,79,56,55,55,58,81,62,48,54,20,17,82,78,13,58,91,16,15,57,52,93,64,57,48,61,95,44,50,52
"4669","H",2012001300159,1,201,1,44,1045360,1056030,13,4,1,1,NA,1,3,2,2,0,100,2,400,3,4,2000,NA,1,2000,1,1,1,6,NA,NA,1,9,1,NA,1,1,1,1,NA,200000,1,200,1,7,25800,2,NA,NA,1,3,25800,0,2,2,2,1,1,1,5,3,4,0,0,3,100,0,1,0,1,0,0,1,2150,3,0,1,36,2,14,13,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,13,4,4,14,22,13,20,4,20,13,19,11,4,4,13,20,11,13,3,18,4,12,12,3,13,4,10,12,12,20,15,22,13,13,23,12,4,21,12,12,12,4,4,13,21,13,18,3,20,11,20,13,3,3,13,24,12,14,4,20,4,12,12,4,13,4,16,10,13,20,11,21,13,13,21,13,4,22,13
