"length","cdf"
"1",0.0459770114942529
"2",0.0919540229885057
"3",0.114942528735632
"4",0.160919540229885
"5",0.310344827586207
"6",0.32183908045977
"7",0.344827586206897
"8",0.379310344827586
"9",0.390804597701149
"10",0.540229885057471
"12",0.551724137931034
"13",0.563218390804598
"14",0.574712643678161
"15",0.689655172413793
"19",0.701149425287356
"20",0.747126436781609
"22",0.758620689655172
"23",0.770114942528736
"25",0.804597701149425
"28",0.816091954022989
"30",0.873563218390805
"45",0.931034482758621
"60",0.954022988505747
"68",0.96551724137931
"270",1
