"length","cdf"
"4",0.0277777777777778
"5",0.0740740740740741
"6",0.0833333333333333
"8",0.0925925925925926
"10",0.12037037037037
"13",0.12962962962963
"20",0.138888888888889
"23",0.157407407407407
"25",0.166666666666667
"30",0.314814814814815
"35",0.333333333333333
"40",0.444444444444444
"45",0.509259259259259
"50",0.518518518518518
"55",0.537037037037037
"60",0.685185185185185
"68",0.75
"70",0.787037037037037
"80",0.796296296296296
"90",0.888888888888889
"113",0.916666666666667
"135",0.962962962962963
"225",0.972222222222222
"270",0.981481481481482
"338",0.990740740740741
"540",1
