"length","cdf"
"1",0.0209677419354839
"2",0.0451612903225806
"3",0.0838709677419355
"4",0.12258064516129
"5",0.216129032258065
"6",0.230645161290323
"7",0.246774193548387
"8",0.256451612903226
"9",0.258064516129032
"10",0.366129032258064
"11",0.367741935483871
"12",0.375806451612903
"13",0.37741935483871
"14",0.380645161290323
"15",0.470967741935484
"16",0.47258064516129
"17",0.475806451612903
"19",0.47741935483871
"20",0.545161290322581
"22",0.546774193548387
"23",0.580645161290323
"24",0.582258064516129
"25",0.614516129032258
"28",0.616129032258064
"30",0.698387096774194
"35",0.712903225806451
"40",0.740322580645161
"44",0.741935483870968
"45",0.793548387096774
"46",0.795161290322581
"47",0.796774193548387
"50",0.817741935483871
"55",0.825806451612903
"60",0.841935483870968
"63",0.843548387096774
"65",0.848387096774194
"68",0.883870967741935
"70",0.888709677419355
"75",0.890322580645161
"80",0.893548387096774
"90",0.92258064516129
"105",0.924193548387097
"106",0.925806451612903
"110",0.92741935483871
"113",0.948387096774194
"115",0.95
"135",0.967741935483871
"158",0.974193548387097
"160",0.975806451612903
"180",0.979032258064516
"203",0.985483870967742
"215",0.987096774193548
"225",0.990322580645161
"248",0.991935483870968
"270",0.995161290322581
"315",0.996774193548387
"540",1
