"length","cdf"
"2",0.0144927536231884
"5",0.0579710144927536
"6",0.072463768115942
"10",0.101449275362319
"12",0.115942028985507
"15",0.188405797101449
"19",0.202898550724638
"20",0.260869565217391
"23",0.289855072463768
"25",0.318840579710145
"30",0.376811594202899
"35",0.434782608695652
"45",0.550724637681159
"50",0.565217391304348
"55",0.594202898550725
"60",0.623188405797101
"65",0.63768115942029
"68",0.72463768115942
"90",0.811594202898551
"113",0.869565217391304
"135",0.91304347826087
"158",0.942028985507246
"180",0.956521739130435
"248",0.985507246376812
"270",1
