"","SERIALNO","RT","SPORDER","PUMA","ST","ADJINC","PWGTP","AGEP","CIT","CITWP","COW","DDRS","DEAR","DEYE","DOUT","DPHY","DRAT","DRATX","DREM","ENG","FER","GCL","GCM","GCR","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWMNP","JWRIP","JWTR","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","MLPA","MLPB","MLPCD","MLPE","MLPFG","MLPH","MLPI","MLPJ","MLPK","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RELP","RETP","SCH","SCHG","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKL","WKW","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DIS","DRIVESP","ESP","ESR","FOD1P","FOD2P","HICOV","HISP","INDP","JWAP","JWDP","LANP","MIGPUMA","MIGSP","MSP","NAICSP","NATIVITY","NOP","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","SFN","SFR","SOCP","VPS","WAOB","FAGEP","FANCP","FCITP","FCITWP","FCOWP","FDDRSP","FDEARP","FDEYEP","FDISP","FDOUTP","FDPHYP","FDRATP","FDRATXP","FDREMP","FENGP","FESRP","FFERP","FFODP","FGCLP","FGCMP","FGCRP","FHINS1P","FHINS2P","FHINS3C","FHINS3P","FHINS4C","FHINS4P","FHINS5C","FHINS5P","FHINS6P","FHINS7P","FHISP","FINDP","FINTP","FJWDP","FJWMNP","FJWRIP","FJWTRP","FLANP","FLANXP","FMARP","FMARHDP","FMARHMP","FMARHTP","FMARHWP","FMARHYP","FMIGP","FMIGSP","FMILPP","FMILSP","FOCCP","FOIP","FPAP","FPERNP","FPINCP","FPOBP","FPOWSP","FPRIVCOVP","FPUBCOVP","FRACP","FRELP","FRETP","FSCHGP","FSCHLP","FSCHP","FSEMP","FSEXP","FSSIP","FSSP","FWAGP","FWKHP","FWKLP","FWKWP","FWRKP","FYOEP","PWGTP1","PWGTP2","PWGTP3","PWGTP4","PWGTP5","PWGTP6","PWGTP7","PWGTP8","PWGTP9","PWGTP10","PWGTP11","PWGTP12","PWGTP13","PWGTP14","PWGTP15","PWGTP16","PWGTP17","PWGTP18","PWGTP19","PWGTP20","PWGTP21","PWGTP22","PWGTP23","PWGTP24","PWGTP25","PWGTP26","PWGTP27","PWGTP28","PWGTP29","PWGTP30","PWGTP31","PWGTP32","PWGTP33","PWGTP34","PWGTP35","PWGTP36","PWGTP37","PWGTP38","PWGTP39","PWGTP40","PWGTP41","PWGTP42","PWGTP43","PWGTP44","PWGTP45","PWGTP46","PWGTP47","PWGTP48","PWGTP49","PWGTP50","PWGTP51","PWGTP52","PWGTP53","PWGTP54","PWGTP55","PWGTP56","PWGTP57","PWGTP58","PWGTP59","PWGTP60","PWGTP61","PWGTP62","PWGTP63","PWGTP64","PWGTP65","PWGTP66","PWGTP67","PWGTP68","PWGTP69","PWGTP70","PWGTP71","PWGTP72","PWGTP73","PWGTP74","PWGTP75","PWGTP76","PWGTP77","PWGTP78","PWGTP79","PWGTP80"
"1",2012000013130,"P",1,104,44,1056030,13,62,1,NA,NA,2,2,2,2,1,NA,NA,2,NA,NA,2,NA,NA,2,1,1,2,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,0,0,1,NA,20,0,1,0,7800,0,NA,3,NA,2,NA,1,89,999,NA,1,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,6,"",1,NA,0,NA,NA,0,7800,44,66,NA,NA,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,4,12,4,3,16,4,19,13,15,17,26,15,5,11,23,19,13,16,13,25,4,13,4,4,12,3,27,15,15,14,21,12,4,15,22,26,18,15,13,3,23,15,25,23,15,22,4,13,14,15,4,13,25,11,4,4,12,13,14,5,20,14,23,25,13,25,5,12,12,14,4,13,20,16,5,5,16,13
"2",2012000097425,"P",2,400,44,1056030,10,70,1,NA,NA,2,1,2,2,2,NA,NA,2,NA,NA,2,NA,NA,2,2,1,2,2,2,2,0,NA,NA,NA,2,1,2,2,1,2,1966,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,1,6700,1,NA,21,0,2,0,8400,0,NA,3,NA,2,NA,2,50,32,NA,1,NA,NA,6,3600,NA,1,1,NA,NA,NA,NA,NA,NA,1,"",1,NA,0,NA,4,0,15100,36,415,NA,NA,2,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,2,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,9,20,4,12,14,3,14,11,2,10,12,9,3,16,21,21,18,3,12,3,18,10,10,20,19,11,3,3,10,16,3,17,13,9,11,11,11,12,3,10,11,21,4,9,10,3,11,9,3,10,11,11,3,20,18,19,19,3,11,3,21,10,12,17,19,10,3,3,11,22,3,19,11,11,12,10,11,11
"3",2012000097425,"P",1,400,44,1056030,10,70,1,NA,NA,2,2,2,2,2,NA,2,2,NA,NA,2,NA,NA,2,1,1,2,2,2,2,100,NA,NA,NA,2,1,2,2,1,2,1966,1,2,0,0,0,1,1,0,0,0,0,2,1,2,2,3,0,0,0,25000,1,NA,20,0,1,0,17000,0,NA,3,NA,2,NA,1,88,999,NA,2,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,"",1,NA,0,NA,NA,0,42100,12,415,NA,NA,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,18,3,11,12,3,12,10,2,10,11,9,2,15,19,17,18,2,12,3,17,10,11,18,18,10,3,4,10,14,3,17,12,10,11,9,10,11,3,9,10,19,3,8,9,3,9,9,2,10,10,9,3,17,17,17,18,3,11,4,20,9,11,16,17,10,3,3,11,19,3,17,10,11,11,10,10,10
"4",2012000125546,"P",3,103,44,1056030,32,4,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,50,32,NA,2,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,NA,NA,NA,NA,44,359,NA,NA,1,2,3,1,1,1,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,32,54,9,55,61,32,35,11,9,45,31,37,30,52,35,35,33,8,51,37,35,8,44,10,7,37,35,37,55,11,26,28,30,9,32,29,30,51,49,31,33,10,55,8,9,35,33,67,63,9,42,29,28,11,37,25,31,57,7,32,29,45,12,53,49,25,30,10,10,54,34,33,31,50,26,25,30,9,10
"5",2012000125546,"P",2,103,44,1056030,37,31,1,NA,1,2,1,2,2,2,2,1,2,1,NA,2,NA,NA,1,2,2,2,2,1,2,0,30,1,1,1,1,2,2,1,2,2003,1,2,1,1,0,0,0,0,0,0,0,3,5,3,3,3,7000,0,1,0,1,NA,20,0,1,0,0,40000,40,1,1,1,NA,1,46,999,NA,1,1,NA,1,NA,NA,1,1,2370,166,100,1235,NA,NA,1,"3261",1,NA,0,1920,NA,40000,47000,25,359,400,44,1,1,4,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"194031",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,71,12,60,60,40,40,13,10,49,37,42,36,68,44,37,38,12,68,41,39,13,58,10,11,35,34,56,57,10,40,41,40,10,41,32,38,66,67,38,30,12,67,10,12,38,37,76,64,11,36,31,37,12,37,43,42,63,8,38,36,61,12,67,64,38,38,13,13,80,41,32,34,67,33,35,33,11,12
"6",2012000125546,"P",1,103,44,1056030,36,33,1,NA,1,2,2,2,2,2,NA,NA,2,1,2,2,NA,NA,1,2,2,2,2,2,2,0,NA,NA,NA,1,1,2,2,1,2,2003,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,3,1,3000,0,0,0,1,NA,21,0,2,0,0,15000,18,1,4,2,NA,2,50,32,NA,2,NA,NA,3,6206,NA,1,1,7580,NA,NA,1235,NA,NA,1,"5613",1,NA,0,4840,1,15000,18000,42,359,NA,NA,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,2,2,NA,NA,"413099",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,41,63,11,56,55,36,38,11,11,50,39,36,36,74,40,32,36,12,60,38,38,12,50,10,10,32,40,54,64,10,35,45,38,13,31,34,39,62,65,43,29,11,57,10,10,37,36,67,69,11,37,38,32,12,40,43,33,54,9,37,32,62,10,55,64,35,37,11,12,70,35,40,33,62,36,34,38,10,11
"7",2012000145040,"P",1,201,44,1056030,21,69,1,NA,1,2,2,2,2,2,NA,NA,2,NA,NA,2,NA,NA,1,2,1,2,2,2,2,0,20,1,1,2,2,2,2,2,2,1974,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,0,1,NA,22,0,2,0,0,7900,15,1,5,NA,NA,4,999,999,NA,2,1,NA,1,5507,5502,1,1,4970,98,55,NA,NA,NA,3,"4451",1,NA,0,9620,4,7900,7900,44,72,100,44,1,1,3,1,1,1,0,0,0,0,1,0,0,1,0,1,2,NA,NA,"537062",NA,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,6,36,34,5,19,33,6,5,23,22,32,18,21,22,23,34,23,22,5,21,36,8,6,41,18,6,34,30,18,21,7,20,17,21,26,6,23,21,33,22,6,28,37,6,19,36,6,5,20,18,33,21,24,20,21,35,20,22,6,24,32,6,6,40,21,7,31,34,24,22,7,22,21,19,22,6,19,18,33,22
"8",2012000165014,"P",5,103,44,1056030,21,15,1,NA,NA,2,2,2,2,2,NA,NA,2,1,2,NA,NA,NA,2,2,2,1,2,2,2,0,NA,NA,NA,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,2,12,13,0,2,0,0,0,NA,NA,NA,NA,NA,1,275,999,NA,2,NA,2,NA,NA,NA,1,5,NA,NA,NA,1200,NA,NA,6,"",1,4,1,NA,NA,NA,0,44,12,NA,NA,2,1,3,1,1,1,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,39,6,23,43,5,6,20,20,34,19,24,25,21,34,21,22,5,20,40,5,8,43,19,4,39,56,18,20,5,21,23,20,21,6,20,20,31,17,28,7,6,33,21,6,30,34,16,20,7,19,21,25,18,7,23,27,37,23,5,30,36,8,18,27,7,6,20,23,31,25,24,22,23,28,20,22,6,20
"9",2012000165014,"P",3,103,44,1056030,22,19,4,2004,2,2,2,2,2,2,NA,NA,2,1,2,NA,NA,NA,2,2,2,2,2,2,2,0,15,4,1,1,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,2,0,0,2,0,3,15,18,0,2,0,0,1000,10,1,6,1,1994,1,275,999,6,2,4,NA,1,NA,NA,2,5,7870,169,103,1200,NA,NA,6,"611M1",2,NA,0,2550,4,1000,1000,329,12,2000,36,2,2,2,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"2590XX",NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,30,7,21,40,7,9,21,22,33,23,22,22,26,56,22,23,7,23,37,8,8,32,17,6,40,45,21,33,7,30,16,19,24,6,23,23,37,19,30,8,6,36,21,7,38,47,20,21,9,19,24,28,18,8,22,26,33,18,5,36,46,9,26,36,7,6,27,35,41,26,26,23,18,34,26,19,7,20
"10",2012000165014,"P",2,103,44,1056030,27,51,5,NA,7,2,2,2,2,2,NA,NA,2,4,NA,2,NA,NA,2,2,2,1,2,2,2,0,40,1,1,1,1,2,2,2,2,1995,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,1,0,1,NA,15,0,1,0,0,2400,41,1,6,1,2001,1,275,999,7,2,1,NA,1,NA,NA,1,5,9090,80,33,1200,NA,NA,1,"8129",2,NA,0,9350,NA,2400,2400,329,12,100,44,2,1,4,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,"536021",NA,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,43,39,7,33,48,6,7,26,27,47,26,28,24,24,44,28,26,8,26,46,10,11,50,26,8,68,60,30,39,7,28,26,32,24,11,32,23,44,26,39,11,7,41,29,9,39,38,21,20,10,19,24,25,29,9,26,32,35,38,8,39,44,12,25,46,10,8,32,32,49,41,32,33,26,40,30,30,8,20
